C	binarytrees	3	0.0051	0	0	binarytrees/ok/7038400/1.5181/1.7048/542/3
A	trampoline	3	0.0334	0	0	trampoline/ok/247388/1.2075/1.2875/829/3
B	trampoline	3	0.0189	0	0	trampoline/ok/247388/0.7347/0.8170/933/3
C	trampoline	3	0.0045	0	0	trampoline/ok/247388/0.7035/0.7458/816/3
A	matmul	3	0.0329	0	0	matmul/ok/481.0000/3.7713/3.8967/779/3
B	matmul	3	0.0178	0	0	matmul/ok/481.0000/1.5563/1.6800/886/3
C	matmul	3	0.0044	0	0	matmul/ok/481.0000/0.3109/0.3526/750/3
A	strings2	3	0.0332	0	0	strings2/ok/12582912-3852468224/1.7970/1.9397/166/3
B	strings2	3	0.0199	0	0	strings2/ok/12582912-3852468224/1.0813/1.1105/823/3
C	strings2	3	0.0041	0	0	strings2/ok/12582912-3852468224/0.6096/0.6802/729/3
A	nqueens	3	0.0178	0	0	nqueens/ok/85200/4.4159/4.5571/841/3
B	nqueens	3	0.0206	0	0	nqueens/ok/85200/1.9536/2.0103/1024/3
C	nqueens	3	0.0038	0	0	nqueens/ok/85200/2.8096/2.8886/733/3
A	sha256	3	0.0331	0	0	sha256/ok/4044b97490ea337483cb563ee4336c024272c962e86475de24c58abaade25a5d/2.5822/2.6513/893/3
B	sha256	3	0.0185	0	0	sha256/ok/4044b97490ea337483cb563ee4336c024272c962e86475de24c58abaade25a5d/1.9720/2.0666/1001/3
C	sha256	3	0.0035	0	0	sha256/ok/4044b97490ea337483cb563ee4336c024272c962e86475de24c58abaade25a5d/0.0877/0.0936/787/3
A	strings	1	0.0340	0	0	strings/ok/12582912-3852468224/1.8742/1.8742/658/1
B	strings	1	0.0168	0	0	strings/ok/12582912-3852468224/1.0777/1.0777/894/1
C	strings	1	0.0048	5	1	strings/pending/-/-1.0000/-1.0000/0/0
A	strings	2	0.0347	0	0	strings/ok/12582912-3852468224/2.0061/2.0061/631/1
B	strings	2	0.0178	0	0	strings/ok/12582912-3852468224/1.0963/1.0963/963/1
C	strings	2	0.0048	5	1	strings/pending/-/-1.0000/-1.0000/0/0
