A	sieve	1	0.0324	0	0	sieve/ok/4626000/2.7431/2.9187/719/3
B	sieve	1	0.0178	6	1	sieve/pending/-/-1.0000/-1.0000/0/0
C	sieve	1	0.0052	5	1	sieve/pending/-/-1.0000/-1.0000/0/0
A	sieve	2	0.0322	0	0	sieve/ok/4626000/2.6477/2.9022/676/3
B	sieve	2	0.0165	5	0	sieve/ERROR/not_enough_memory/-1.0000/-1.0000/0/0
C	sieve	2	0.0046	5	1	sieve/pending/-/-1.0000/-1.0000/0/0
A	sieve	3	0.0326	0	0	sieve/ok/4626000/2.8419/3.0764/805/3
B	sieve	3	0.0179	6	1	sieve/pending/-/-1.0000/-1.0000/0/0
C	sieve	3	0.0049	5	1	sieve/pending/-/-1.0000/-1.0000/0/0
